题目内容,题目选项A,题目选项B,题目选项C,题目选项D,题目答案,类型,分值,难度,赛题分类（技术领域）,,,,,,
"根据《中华人民共和国刑法》之相关规定，违 反国家有关规定，向他人出售或者提供公民个 人信息，情节严重的，处（） ，并处或者单 处罚金；情节特别严重的，处（），并处罚金
。",拘役，三年以下有期徒刑或拘役,三年以下有期徒刑或拘役，三年以上有期徒刑,"三年以下有期徒刑
或者拘役，三年
以上七年以下有期
徒刑",三年以上有期徒刑，七年以上有期徒刑,3,单选,3,2,法律法规,,,,,,
"网络运营者应当加强对其用户发布的信息的管
理，发现法律、行政法规禁止发布或者传输的
信息的，应当立即(      )",停止传输该信息,封停所有用户,断网处理,关闭网站,1,单选,3,2,法律法规,,,,,,
"根据《计算机信息网络国际联网安全保护管理
办法》的规定，未建立安全保护管理制度的，
除了没收违法所得外，对单位的主管负责人员
和其他直接责任人员可处（）罚款。",五千元以下的罚款,一万五千元罚款,五万元以下罚款,五十万以下罚款,1,单选,3,2,法律法规,,,,,,
"互联网服务提供者依照本规定采取的互联网安
全保护技术措施应当具有符合（   ）技术标准
的联网接口",公共安全行业,数据安全,互联网行业,金融数据安全,1,单选,3,2,法律法规,,,,,,
"网络运营者未建立（   ）使用登记制度的由公
安机关责令限期改成给予警告。",私有账号,用户账号,公用账号,保密账号,3,单选,3,2,法律法规,,,,,,
"从事国际联网业务的单位和个人应当接受（）
的安全监督、检查和指导，如实向公安机关提
供有关安全保护的信息、资料及数据文件，协
助公安机关查处通过国际联网的计算机信息网
络的违法犯罪行为。",网监,公安机关,国家安全管理中心,政府安全部门,2,单选,3,2,法律法规,,,,,,
"根据《计算机信息网络国际联网安全保护管理
办法》的规定，未提供安全保护管理所需信息
、资料及数据文件，或者所提供内容不真实
的，对单位可处（）罚款。",五千元以下的罚款,一万五千元罚款,五万元以下罚款,五十万以下罚款,2,单选,3,2,法律法规,,,,,,
不按照规定时间报告计算机信息系统中发生的 案件由（  ）处以警告或者停机整顿处罚,公安机关,网监,国家信息中心,"互联网中
心管理机
构",1,单选,3,2,法律法规,,,,,,
"对计算机信息系统中发生的案件，有关使用单
位应当在（  ）小时内向当地县级以上人民政
府公安机关报告",12,72,48,24,4,单选,3,2,法律法规,,,,,,
"办理信息系统安全保护等级备案手续时第三级
以上信息系统应当同时提供系统使用的信息安
全产品清单及其认证、(   )证明",上市许可,销售许可,技术认定,环保认定,2,单选,3,2,法律法规,,,,,,
"第三级信息系统应当（）至少进行一次等级测
评。",每半年,每年,"每三个
月",每两年,2,单选,3,2,法律法规,,,,,,
"第三级以上信息系统选择等级保护测评机构时
应当注意该机构是否满足：法人及主要业务、
（    ）无犯罪记录；",技术人员,财务人员,保安人员,销售人员,1,单选,3,2,法律法规,,,,,,
"对拟确定为( )以上信息系统的，运营、使用
单位或者主管部门应当请国家信息安全保护等
级专家评审委员会评审。",第三级,第二级,第一级,第四级,4,单选,3,2,法律法规,,,,,,
"根据《中华人民共和国网络安全法》的规定，
国家实行（）制度。",网络安全等级,保护分类保护,区域保护,合作保护,1,单选,3,2,法律法规,,,,,,
"根据等保相关要求，（ ）信息系统应当依据
特殊安全需求进行自查。",第四级,第三级,第二级,第五级,4,单选,3,2,法律法规,,,,,,
"跨省或者全国统一联网运行的信息系统在各地
运行、应用的分支系统，应当向当地设区的(
)以上公安机关备案。",市级,省级,区级,县级,1,单选,3,2,法律法规,,,,,,
隶属于中央的在京单位，其跨省或者全国统一 联网运行并由主管部门统一定级的信息系统， 由主管部门向（）办理备案手续。,所在地公安机关,所在地设区的市级以上公安机关,公安部,所在地的省、自治区、直辖市一级公安机,3,单选,3,2,法律法规,,,,,,
"网络运营者不履行本法规定的网络安全保护义
务的，由有关主管部门责令改正，给予警告；
拒不改正或者导致危害网络安全等后果的，处
一万元以上十万元以下罚款，对直接负责的主
管人员处（）罚款。",五千元以上五万元以下,一千元以上五万元以下,一万元以上十万元以下,五千元以上一万元以下,1,单选,3,2,法律法规,,,,,,
"网络运营者应采取监测、记录网络运行状态、
网络安全事件的技术措施，并按照规定留存相
关的网络日志不少于（   ）",三十天,六十天,三个月,六个月,4,单选,3,2,法律法规,,,,,,
"网络运营者应当按照网络安全等级保护制度的
要求，保障网络免受干扰、破坏或者未经授权
的访问，防止网络数据泄露或者被窃取、（",篡改,保存,保护,备份,1,单选,3,2,法律法规,,,,,,
"网络运营者在发生危害网络安全的事件时，立
即（   ），采取相应的补救措施，并按照规定
向有关主管部门报告。",关闭网站,报警,启动应急预案,向领导汇报,3,单选,3,2,法律法规,,,,,,
违反计算机信息系统安全等级保护制度，危害 计算机信息系统安全的。由（）处以警告或者 停机整顿。,公安机关,检察院,国家安全部门,"国务院信息化工
作领导小组",1,单选,3,2,法律法规,,,,,,
"新建第二级以上信息系统，应当在投入运行后
（ ）日内，由其运营、使用单位到所在地设
区的市级以上公安机关办理备案手续。",50,30,60,20,2,单选,3,2,法律法规,,,,,,
信息系统运营、使用单位应当按照（  ）具体 实施等级保护工作。,"《中华人民共和国
计算机信息系统安
全保护条例》",《中华人民共和国网络安全法》,《信息系统安全等级保护基本要求》,《信息系统安全等级保护实施指南》,4,单选,3,2,法律法规,,,,,,
信息系统运营、使用单位应当依据（ ）和《 信息系统安全等级保护定级指南》确定信息系 统的安全保护等级,"《中华人民共和国
计算机信息系统安
全保护条例》",《信息安全等级保护管理办法》,《信息系统安全等级保护基本要求》,《中华人民共和国网络安全法》,2,单选,3,2,法律法规,,,,,,
已运营(运行)的第二级以上信息系统，应当在安全保护等级确定后(    )日内，由其运营、使用单位到所在地设区的市级以上公安机关办理备案手续。,30,40,60,10,1,单选,3,2,法律法规,,,,,,
已运营(运行)的第二级以上信息系统，应当在 安全保护等级确定后30日内，由其运营、使用 单位到（）公安机关办理备案手续。,所在地,所在地设区的市级以上,单位登记地,所在地的省、自治区、直辖市一,2,单选,3,2,法律法规,,,,,,
在等保工作中，运营、使用单位在收到整改通知后完成整改，需要将整改报告向（   ）备案,公安机关,网信办,工信部相关部门,上级部门,1,单选,3,2,法律法规,,,,,,
在等保工作中，运营、使用单位在收到整改通知后应当根据整改通知要求，按照管理规范和（   ）进行整改,管理标准,自身业务要求,技术标准,运维管理办法,3,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者违反本法第三十七条规定，在（）存储网络数据，或者向境外提供网络数据的对直接负责的主管人员和其他直接责任人员处一万元以上十万元以下罚款,境内,境外,省内,省外,2,单选,3,2,法律法规,,,,,,
下列哪项不属于计算机信息系统的使用单位在 计算机病毒防治工作中应当履行的职责。,建立本单位的计算机病毒防治管理制度,为用户免费提供计算机病毒防治产品,对本单位计算机信息系统使用人员进行计算机病毒防治教育和培训,采取计算机病毒安全技术防治措施,2,单选,3,2,法律法规,,,,,,
国家对互联网上网服务营业场所经营单位的经营活动实行（ ）制度。未经许可，任何组织和个人不得从事互联网上网服务经营活动,许可,经营许可,默许,申请,1,单选,3,2,法律法规,,,,,,
关键信息基础设施的具体范围和安全保护办法由（）制定,网信办,网安大队,公安局,国务院,4,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者采购网络产品和服务，应当按照规定与提供者（），明确安全和保密义务与责任,签订劳动协议,签订劳动合同,签订安全保密协议,签订保密协议,3,单选,3,2,法律法规,,,,,,
关键信息基础设施的运营者应当自行或者委托网络安全服务机构对其网络的安全性和可能存在的风险每年至少进行（）次检测评估，并将检测评估情况和改进措施报送相关负责关键信息基础设施安全保护工作的部门,1,2,3,4,1,单选,3,2,法律法规,,,,,,
